Date	Open	High	Low	Close	Volume
05/04/16	"2,060.30"	"2,060.30"	"2,045.55"	"2,051.12"	"626,663,675"
05/03/16	"2,077.18"	"2,077.18"	"2,054.89"	"2,063.37"	"635,546,372"
05/02/16	"2,067.17"	"2,083.42"	"2,066.11"	"2,081.43"	"604,116,575"
04/29/16	"2,071.82"	"2,073.85"	"2,052.28"	"2,065.30"	"887,315,141"
04/28/16	"2,090.93"	"2,099.30"	"2,071.62"	"2,075.81"	"688,929,375"
04/27/16	"2,092.33"	"2,099.89"	"2,082.31"	"2,095.15"	"672,027,528"
04/26/16	"2,089.84"	"2,096.87"	"2,085.80"	"2,091.70"	"597,068,986"
04/25/16	"2,089.37"	"2,089.37"	"2,077.52"	"2,087.79"	"544,758,655"
04/22/16	"2,091.49"	"2,094.32"	"2,081.20"	"2,091.58"	"705,980,621"
04/21/16	"2,102.09"	"2,103.78"	"2,088.52"	"2,091.48"	"650,715,329"
04/20/16	"2,101.52"	"2,111.05"	"2,096.32"	"2,102.40"	"604,537,168"
04/19/16	"2,096.05"	"2,104.05"	"2,091.68"	"2,100.80"	"589,612,525"
04/18/16	"2,078.83"	"2,094.66"	"2,073.65"	"2,094.34"	"546,617,436"
04/15/16	"2,083.10"	"2,083.22"	"2,076.31"	"2,080.73"	"693,534,579"
04/14/16	"2,082.89"	"2,087.84"	"2,078.13"	"2,082.78"	"563,092,213"
04/13/16	"2,065.92"	"2,083.18"	"2,065.92"	"2,082.42"	"630,905,563"
04/12/16	"2,043.72"	"2,065.05"	"2,039.74"	"2,061.72"	"590,852,942"
04/11/16	"2,050.23"	"2,062.93"	"2,041.88"	"2,041.99"	"586,540,507"
04/08/16	"2,045.54"	"2,060.63"	"2,041.69"	"2,047.60"	"534,851,519"
04/07/16	"2,063.01"	"2,063.01"	"2,033.80"	"2,041.91"	"618,270,929"
04/06/16	"2,045.56"	"2,067.33"	"2,043.09"	"2,066.66"	"581,169,463"
04/05/16	"2,062.50"	"2,062.50"	"2,042.56"	"2,045.17"	"666,152,013"
04/04/16	"2,073.19"	"2,074.02"	"2,062.57"	"2,066.13"	"532,702,712"
04/01/16	"2,056.62"	"2,075.07"	"2,043.98"	"2,072.78"	"655,004,232"
03/31/16	"2,063.77"	"2,067.92"	"2,057.46"	"2,059.74"	"636,409,975"
03/30/16	"2,058.27"	"2,072.21"	"2,058.27"	"2,063.95"	"511,377,524"
03/29/16	"2,035.75"	"2,055.91"	"2,028.31"	"2,055.01"	"571,874,192"
03/28/16	"2,037.89"	"2,042.67"	"2,031.96"	"2,037.05"	"460,618,605"
03/24/16	"2,032.48"	"2,036.04"	"2,022.49"	"2,035.94"	"600,124,419"
03/23/16	"2,048.55"	"2,048.55"	"2,034.86"	"2,036.71"	"542,124,620"
03/22/16	"2,048.64"	"2,056.60"	"2,040.57"	"2,049.80"	"555,480,442"
03/21/16	"2,047.88"	"2,053.91"	"2,043.14"	"2,051.60"	"535,572,723"
03/18/16	"2,041.16"	"2,052.36"	"2,041.16"	"2,049.56"	"1,725,070,852"
03/17/16	"2,026.90"	"2,046.24"	"2,022.16"	"2,040.59"	"661,715,372"
03/16/16	"2,014.24"	"2,032.02"	"2,010.04"	"2,027.22"	"617,655,202"
03/15/16	"2,015.27"	"2,015.94"	"2,005.23"	"2,015.93"	"529,503,338"
03/14/16	"2,019.27"	"2,024.57"	"2,012.05"	"2,019.64"	"546,834,613"
03/11/16	"1,994.71"	"2,022.37"	"1,994.71"	"2,022.19"	"641,695,645"
03/10/16	"1,990.97"	"2,005.08"	"1,969.25"	"1,989.57"	"665,439,405"
03/09/16	"1,981.44"	"1,992.69"	"1,979.84"	"1,989.26"	"608,078,572"
03/08/16	"1,996.88"	"1,996.88"	"1,977.43"	"1,979.26"	"699,804,901"
03/07/16	"1,996.11"	"2,006.12"	"1,989.38"	"2,001.76"	"654,437,507"
03/04/16	"1,994.01"	"2,009.13"	"1,986.77"	"1,999.99"	"782,568,214"
03/03/16	"1,985.60"	"1,993.69"	"1,977.37"	"1,993.40"	"667,791,595"
03/02/16	"1,976.60"	"1,986.51"	"1,968.80"	"1,986.45"	"680,798,205"
03/01/16	"1,937.09"	"1,978.35"	"1,937.09"	"1,978.35"	"742,673,686"
02/29/16	"1,947.13"	"1,958.27"	"1,931.81"	"1,932.23"	"849,457,348"
02/26/16	"1,954.95"	"1,962.96"	"1,945.78"	"1,948.05"	"669,963,590"
02/25/16	"1,931.87"	"1,951.83"	"1,925.41"	"1,951.70"	"590,011,627"
02/24/16	"1,917.56"	"1,932.08"	"1,891.00"	"1,929.80"	"662,276,978"
02/23/16	"1,942.38"	"1,942.38"	"1,919.44"	"1,921.27"	"626,777,121"
02/22/16	"1,924.44"	"1,946.70"	"1,924.44"	"1,945.50"	"663,507,139"
02/19/16	"1,916.74"	"1,918.78"	"1,902.17"	"1,917.78"	"862,707,598"
02/18/16	"1,927.57"	"1,930.00"	"1,915.09"	"1,917.83"	"729,857,043"
02/17/16	"1,898.80"	"1,930.68"	"1,898.80"	"1,926.82"	"818,329,068"
02/16/16	"1,871.44"	"1,895.77"	"1,871.44"	"1,895.58"	"840,902,604"
02/12/16	"1,833.40"	"1,864.78"	"1,833.40"	"1,864.78"	"803,662,030"
02/11/16	"1,847.00"	"1,847.00"	"1,810.10"	"1,829.08"	"959,112,627"
02/10/16	"1,857.10"	"1,881.60"	"1,850.32"	"1,851.86"	"764,859,731"
02/09/16	"1,848.46"	"1,868.25"	"1,834.94"	"1,852.21"	"847,322,028"
02/08/16	"1,873.25"	"1,873.25"	"1,828.46"	"1,853.44"	"1,012,876,097"
02/05/16	"1,913.07"	"1,913.07"	"1,872.65"	"1,880.02"	"865,850,519"
02/04/16	"1,911.67"	"1,927.35"	"1,900.52"	"1,915.45"	"865,491,350"
02/03/16	"1,907.07"	"1,918.01"	"1,872.23"	"1,912.53"	"893,685,485"
02/02/16	"1,935.26"	"1,935.26"	"1,897.29"	"1,903.03"	"787,871,195"
02/01/16	"1,936.94"	"1,947.20"	"1,920.30"	"1,939.38"	"713,982,290"
01/29/16	"1,894.00"	"1,940.24"	"1,894.00"	"1,940.24"	"1,218,318,112"
01/28/16	"1,885.22"	"1,902.96"	"1,873.65"	"1,893.36"	"819,522,643"
01/27/16	"1,902.52"	"1,916.99"	"1,872.70"	"1,882.95"	"801,306,427"
01/26/16	"1,878.79"	"1,906.73"	"1,878.79"	"1,903.63"	"695,372,344"
01/25/16	"1,906.28"	"1,906.28"	"1,875.97"	"1,877.08"	"760,929,014"
01/22/16	"1,877.40"	"1,908.85"	"1,877.40"	"1,906.90"	"809,129,145"
01/21/16	"1,861.46"	"1,889.85"	"1,848.98"	"1,868.99"	"853,549,340"
01/20/16	"1,876.18"	"1,876.18"	"1,812.29"	"1,859.33"	"1,078,020,540"
01/19/16	"1,888.66"	"1,901.44"	"1,864.60"	"1,881.33"	"876,359,950"
01/15/16	"1,916.68"	"1,916.68"	"1,857.83"	"1,880.29"	"1,194,777,018"
01/14/16	"1,891.68"	"1,934.47"	"1,878.93"	"1,921.84"	"920,170,292"
01/13/16	"1,940.34"	"1,950.33"	"1,886.41"	"1,890.28"	"874,559,799"
01/12/16	"1,927.83"	"1,947.38"	"1,914.35"	"1,938.68"	"759,189,614"
01/11/16	"1,926.12"	"1,935.65"	"1,901.10"	"1,923.67"	"775,646,469"
01/08/16	"1,945.97"	"1,960.40"	"1,918.46"	"1,922.03"	"800,798,104"
01/07/16	"1,985.32"	"1,985.32"	"1,938.83"	"1,943.09"	"860,517,477"
01/06/16	"2,011.71"	"2,011.71"	"1,979.05"	"1,990.26"	"734,820,348"
01/05/16	"2,013.78"	"2,021.94"	"2,004.17"	"2,016.71"	"619,260,483"
01/04/16	"2,038.20"	"2,038.20"	"1,989.68"	"2,012.66"	"802,047,817"
12/31/15	"2,060.59"	"2,062.54"	"2,043.62"	"2,043.94"	"482,596,709"
12/30/15	"2,077.34"	"2,077.34"	"2,061.97"	"2,063.36"	"334,631,815"
12/29/15	"2,060.54"	"2,081.56"	"2,060.54"	"2,078.36"	"379,027,946"
12/28/15	"2,057.77"	"2,057.77"	"2,044.20"	"2,056.50"	"367,737,617"
12/24/15	"2,063.52"	"2,067.36"	"2,058.73"	"2,060.99"	"250,570,206"
12/23/15	"2,042.20"	"2,064.73"	"2,042.20"	"2,064.29"	"545,191,292"
12/22/15	"2,023.15"	"2,042.74"	"2,020.49"	"2,038.97"	"546,862,689"
12/21/15	"2,010.27"	"2,022.90"	"2,005.93"	"2,021.15"	"610,294,061"
12/18/15	"2,040.81"	"2,040.81"	"2,005.33"	"2,005.55"	"1,811,569,213"
12/17/15	"2,073.76"	"2,076.37"	"2,041.66"	"2,041.89"	"646,285,876"
12/16/15	"2,046.50"	"2,076.72"	"2,042.43"	"2,073.07"	"680,651,840"
12/15/15	"2,025.55"	"2,053.87"	"2,025.55"	"2,043.41"	"689,853,132"
12/14/15	"2,013.37"	"2,022.92"	"1,993.26"	"2,021.94"	"771,568,987"
12/11/15	"2,047.27"	"2,047.27"	"2,008.80"	"2,012.37"	"718,417,683"
12/10/15	"2,047.93"	"2,067.65"	"2,045.67"	"2,052.23"	"597,997,497"
12/09/15	"2,061.17"	"2,080.33"	"2,036.53"	"2,047.62"	"719,904,950"
12/08/15	"2,073.39"	"2,073.85"	"2,052.32"	"2,063.59"	"666,623,203"
12/07/15	"2,090.42"	"2,090.42"	"2,066.78"	"2,077.07"	"639,169,032"
12/04/15	"2,051.24"	"2,093.84"	"2,051.24"	"2,091.69"	"740,000,496"
12/03/15	"2,080.71"	"2,085.00"	"2,042.35"	"2,049.62"	"749,534,853"
12/02/15	"2,101.71"	"2,104.27"	"2,077.11"	"2,079.51"	"615,257,603"
12/01/15	"2,082.93"	"2,103.37"	"2,082.93"	"2,102.63"	"591,032,968"
11/30/15	"2,090.95"	"2,093.81"	"2,080.41"	"2,080.41"	"817,945,944"
11/27/15	"2,088.82"	"2,093.29"	"2,084.13"	"2,090.11"	"240,297,214"
11/25/15	"2,089.30"	"2,093.00"	"2,086.30"	"2,088.87"	"440,227,053"
11/24/15	"2,084.42"	"2,094.12"	"2,070.29"	"2,089.14"	"607,002,856"
11/23/15	"2,089.41"	"2,095.61"	"2,081.39"	"2,086.59"	"571,410,593"
11/20/15	"2,082.82"	"2,097.06"	"2,082.82"	"2,089.17"	"689,155,469"
11/19/15	"2,083.70"	"2,086.74"	"2,078.76"	"2,081.24"	"536,851,932"
11/18/15	"2,051.99"	"2,085.31"	"2,051.99"	"2,083.58"	"608,652,201"
11/17/15	"2,053.67"	"2,066.69"	"2,045.90"	"2,050.44"	"677,180,096"
11/16/15	"2,022.08"	"2,053.22"	"2,019.39"	"2,053.19"	"607,438,938"
11/13/15	"2,044.64"	"2,044.64"	"2,022.02"	"2,023.04"	"652,845,916"
11/12/15	"2,072.29"	"2,072.29"	"2,045.66"	"2,045.97"	"573,740,014"
11/11/15	"2,083.41"	"2,086.94"	"2,074.85"	"2,075.00"	"511,658,093"
11/10/15	"2,077.19"	"2,083.67"	"2,069.91"	"2,081.72"	"564,853,747"
11/09/15	"2,096.56"	"2,096.56"	"2,068.24"	"2,078.58"	"664,843,244"
11/06/15	"2,098.60"	"2,101.91"	"2,083.74"	"2,099.20"	"661,105,431"
11/05/15	"2,101.68"	"2,108.78"	"2,090.41"	"2,099.93"	"589,540,851"
11/04/15	"2,110.60"	"2,114.59"	"2,096.98"	"2,102.31"	"614,436,669"
11/03/15	"2,102.63"	"2,116.48"	"2,097.51"	"2,109.79"	"587,935,660"
11/02/15	"2,080.76"	"2,106.20"	"2,080.76"	"2,104.05"	"579,595,250"
10/30/15	"2,090.00"	"2,094.32"	"2,079.34"	"2,079.36"	"789,030,686"
10/29/15	"2,088.35"	"2,092.52"	"2,082.63"	"2,089.41"	"549,004,658"
10/28/15	"2,066.48"	"2,090.35"	"2,063.11"	"2,090.35"	"660,701,160"
10/27/15	"2,068.75"	"2,070.37"	"2,058.84"	"2,065.89"	"648,798,726"
10/26/15	"2,075.08"	"2,075.14"	"2,066.53"	"2,071.18"	"602,320,842"
10/23/15	"2,058.19"	"2,079.74"	"2,058.19"	"2,075.15"	"745,274,175"
10/22/15	"2,021.88"	"2,055.20"	"2,021.88"	"2,052.51"	"786,028,633"
10/21/15	"2,033.47"	"2,037.97"	"2,017.22"	"2,018.94"	"610,039,020"
10/20/15	"2,033.13"	"2,039.12"	"2,026.61"	"2,030.77"	"563,655,848"
10/19/15	"2,031.73"	"2,034.45"	"2,022.31"	"2,033.66"	"600,476,924"
10/16/15	"2,024.37"	"2,033.54"	"2,020.46"	"2,033.11"	"711,438,827"
10/15/15	"1,996.47"	"2,024.15"	"1,996.47"	"2,023.86"	"670,990,277"
10/14/15	"2,003.66"	"2,009.56"	"1,990.73"	"1,994.24"	"629,580,360"
10/13/15	"2,015.00"	"2,022.34"	"2,001.78"	"2,003.69"	"566,735,134"
10/12/15	"2,015.65"	"2,018.66"	"2,010.55"	"2,017.46"	"464,133,172"
10/09/15	"2,013.73"	"2,020.13"	"2,007.61"	"2,014.89"	"623,413,655"
10/08/15	"1,994.01"	"2,016.50"	"1,987.53"	"2,013.43"	"604,478,359"
10/07/15	"1,982.34"	"1,999.31"	"1,976.44"	"1,995.83"	"735,386,749"
10/06/15	"1,986.63"	"1,991.62"	"1,971.99"	"1,979.92"	"679,775,510"
10/05/15	"1,954.33"	"1,989.17"	"1,954.33"	"1,987.05"	"725,872,947"
10/02/15	"1,921.77"	"1,951.36"	"1,893.70"	"1,951.36"	"763,213,423"
10/01/15	"1,919.65"	"1,927.21"	"1,900.70"	"1,923.82"	"676,289,177"
09/30/15	"1,887.14"	"1,920.53"	"1,887.14"	"1,920.03"	"848,493,582"
09/29/15	"1,881.90"	"1,899.48"	"1,871.91"	"1,884.09"	"735,878,664"
09/28/15	"1,929.18"	"1,929.18"	"1,879.21"	"1,881.77"	"776,030,177"
09/25/15	"1,935.93"	"1,952.89"	"1,921.50"	"1,931.34"	"691,076,672"
09/24/15	"1,934.81"	"1,937.17"	"1,908.92"	"1,932.24"	"715,083,399"
09/23/15	"1,943.24"	"1,949.52"	"1,932.57"	"1,938.76"	"505,038,279"
09/22/15	"1,961.39"	"1,961.39"	"1,929.22"	"1,942.74"	"692,573,930"
09/21/15	"1,960.84"	"1,979.64"	"1,955.80"	"1,966.97"	"570,771,913"
09/18/15	"1,989.66"	"1,989.66"	"1,953.45"	"1,958.08"	"1,857,431,494"
09/17/15	"1,995.33"	"2,020.86"	"1,986.73"	"1,990.20"	"704,645,073"
09/16/15	"1,978.02"	"1,997.26"	"1,977.93"	"1,995.31"	"592,016,371"
09/15/15	"1,955.10"	"1,983.19"	"1,954.30"	"1,978.09"	"538,189,680"
09/14/15	"1,963.06"	"1,963.06"	"1,948.27"	"1,953.03"	"546,552,646"
09/11/15	"1,951.45"	"1,961.05"	"1,939.19"	"1,961.05"	"588,994,439"
09/10/15	"1,941.59"	"1,965.29"	"1,937.19"	"1,952.29"	"668,611,570"
09/09/15	"1,971.45"	"1,988.63"	"1,937.88"	"1,942.04"	"666,963,761"
09/08/15	"1,927.30"	"1,970.42"	"1,927.30"	"1,969.41"	"683,152,885"
09/04/15	"1,947.76"	"1,947.76"	"1,911.21"	"1,921.22"	"665,449,152"
09/03/15	"1,950.79"	"1,975.01"	"1,944.72"	"1,951.13"	"632,681,962"
09/02/15	"1,916.52"	"1,948.91"	"1,916.52"	"1,948.86"	"732,787,120"
09/01/15	"1,970.09"	"1,970.09"	"1,903.07"	"1,913.85"	"870,101,241"
08/31/15	"1,986.73"	"1,986.73"	"1,965.98"	"1,972.18"	"764,714,895"
08/28/15	"1,986.06"	"1,993.48"	"1,975.19"	"1,988.87"	"723,405,976"
08/27/15	"1,942.77"	"1,989.60"	"1,942.77"	"1,987.66"	"924,187,986"
08/26/15	"1,872.75"	"1,943.09"	"1,872.75"	"1,940.51"	"1,028,853,758"
08/25/15	"1,898.08"	"1,948.04"	"1,867.08"	"1,867.62"	"1,051,227,010"
08/24/15	"1,965.15"	"1,965.15"	"1,867.01"	"1,893.21"	"1,333,367,963"
08/21/15	"2,034.08"	"2,034.08"	"1,970.89"	"1,970.89"	"1,064,339,747"
08/20/15	"2,076.61"	"2,076.61"	"2,035.73"	"2,035.73"	"674,558,060"
08/19/15	"2,095.69"	"2,096.17"	"2,070.53"	"2,079.61"	"571,231,726"
08/18/15	"2,101.99"	"2,103.47"	"2,094.14"	"2,096.92"	"444,211,630"
08/17/15	"2,089.70"	"2,102.87"	"2,079.30"	"2,102.44"	"426,042,175"
08/14/15	"2,083.15"	"2,092.45"	"2,080.61"	"2,091.54"	"448,636,523"
08/13/15	"2,086.19"	"2,092.93"	"2,078.26"	"2,083.39"	"502,475,309"
08/12/15	"2,081.10"	"2,089.06"	"2,052.09"	"2,086.05"	"632,320,464"
08/11/15	"2,102.66"	"2,102.66"	"2,076.49"	"2,084.07"	"562,080,936"
08/10/15	"2,080.98"	"2,105.35"	"2,080.98"	"2,104.18"	"536,952,747"
08/07/15	"2,082.61"	"2,082.61"	"2,067.91"	"2,077.57"	"529,686,686"
08/06/15	"2,100.75"	"2,103.32"	"2,075.53"	"2,083.56"	"611,690,579"
08/05/15	"2,095.27"	"2,112.66"	"2,095.27"	"2,099.84"	"580,780,772"
08/04/15	"2,097.68"	"2,102.51"	"2,088.60"	"2,093.32"	"545,885,014"
08/03/15	"2,104.49"	"2,105.70"	"2,087.31"	"2,098.04"	"546,235,777"
07/31/15	"2,111.60"	"2,114.24"	"2,102.07"	"2,103.84"	"639,716,945"
07/30/15	"2,106.78"	"2,110.48"	"2,094.97"	"2,108.63"	"505,302,182"
07/29/15	"2,094.70"	"2,110.60"	"2,094.08"	"2,108.57"	"568,110,723"
07/27/15	"2,078.19"	"2,078.19"	"2,063.52"	"2,067.64"	"658,424,497"
07/24/15	"2,102.24"	"2,106.01"	"2,077.09"	"2,079.65"	"622,862,924"
07/23/15	"2,114.16"	"2,116.87"	"2,098.63"	"2,102.15"	"583,756,482"
07/22/15	"2,118.21"	"2,118.51"	"2,110.00"	"2,114.15"	"604,850,316"
07/21/15	"2,127.55"	"2,128.49"	"2,115.40"	"2,119.21"	"549,092,745"
07/20/15	"2,126.85"	"2,132.82"	"2,123.65"	"2,128.28"	"498,063,871"
07/17/15	"2,126.80"	"2,128.91"	"2,119.88"	"2,126.64"	"626,055,481"
07/16/15	"2,110.55"	"2,124.42"	"2,110.55"	"2,124.29"	"531,489,666"
07/15/15	"2,109.01"	"2,114.14"	"2,102.49"	"2,107.40"	"538,810,633"
07/14/15	"2,099.72"	"2,111.98"	"2,098.18"	"2,108.95"	"501,243,649"
07/13/15	"2,080.03"	"2,100.67"	"2,080.03"	"2,099.60"	"504,047,608"
07/10/15	"2,052.74"	"2,081.31"	"2,052.74"	"2,076.62"	"487,492,213"
07/09/15	"2,049.73"	"2,074.28"	"2,049.73"	"2,051.31"	"553,570,988"
07/08/15	"2,077.66"	"2,077.66"	"2,044.66"	"2,046.68"	"372,276,830"
07/07/15	"2,069.52"	"2,083.74"	"2,044.02"	"2,081.34"	"624,382,379"
07/06/15	"2,073.95"	"2,078.61"	"2,058.40"	"2,068.76"	"586,209,073"
07/02/15	"2,078.03"	"2,085.06"	"2,071.02"	"2,076.78"	"484,440,239"
07/01/15	"2,067.00"	"2,082.78"	"2,067.00"	"2,077.42"	"531,751,257"
06/30/15	"2,061.19"	"2,074.28"	"2,056.32"	"2,063.11"	"717,671,106"
06/29/15	"2,098.63"	"2,098.63"	"2,056.64"	"2,057.64"	"586,955,148"
06/26/15	"2,102.62"	"2,108.92"	"2,095.38"	"2,101.49"	"927,539,503"
06/25/15	"2,109.96"	"2,116.04"	"2,101.78"	"2,102.31"	"494,346,810"
06/24/15	"2,123.33"	"2,125.10"	"2,108.58"	"2,108.58"	"534,019,481"
06/23/15	"2,123.16"	"2,128.03"	"2,119.89"	"2,124.20"	"453,115,170"
